     -1.5948      -4.2225       4.4816       4.9748       2.1667       4.6923      -3.2643      -1.2673      -4.3323       3.9092
     -2.2350       0.7467       3.1812       1.8687      -4.4698      -4.3155      -1.7832      -4.8076       4.6409       3.5670
     -0.3847       0.8272      -0.1307      -0.6004       3.2654       2.9101      -0.1219       1.1739       3.1369       3.2834
      4.2537       4.8934       2.3886       3.9461      -3.3709      -3.8787       4.6138      -2.8265      -4.6990      -2.6212
     -4.8826       4.2476      -4.9143      -4.1981      -0.9004      -4.7219      -2.9219      -0.6982      -2.0390       1.6934
      2.8303      -3.9070      -4.9703       2.3756       2.6064       1.2036       0.5125       0.8898       1.4255      -0.2337
     -1.1859       0.3476       4.0475       1.5706      -0.0386      -3.7789       1.8716       3.9755      -4.2235       1.9891
     -4.1378       4.4262       0.5931      -2.2245      -3.4957       4.8950       0.7365       4.8329      -3.3407       0.2020
     -3.3110      -2.4224      -4.8324       4.5279       4.7254       2.6926       2.5886       1.1269      -1.5242      -3.5973
     -2.4767       4.6085       3.0711       0.3796       3.1154       3.6818       1.1562       1.7397      -4.8247       2.0184
    418.2163     -37.7863   -1524.7389    1023.5800   -1958.5020    -661.7725   -1836.4828     561.0970      -5.5619    -478.0854
